objid,type,ra,dec,u,g,r,i,z,redshift,,
1.23767E+18,GALAXY,258.1453615,64.07070396,17.96586,15.43528,14.45425,13.74995,13.69962,Null,2.53058,0.98103
1.23767E+18,GALAXY,258.2083664,64.05294822,19.22208,17.00105,16.03318,15.59466,15.34225,0.07395603,2.22103,0.96787
1.23767E+18,GALAXY,258.1709869,64.07269654,19.24469,17.0818,16.12346,15.65043,15.33794,0.0834782,2.16289,0.95834
1.23767E+18,GALAXY,258.0674953,64.03677188,19.88776,17.80275,16.81038,16.36799,16.01531,Null,2.08501,0.99237
1.23767E+18,GALAXY,258.2133566,64.07316958,19.24982,17.20155,16.26258,15.75252,15.49401,0.07390364,2.04827,0.93897
1.23767E+18,GALAXY,258.1199461,64.06074829,17.35083,14.94665,14.0375,13.56921,13.33719,0.07343803,2.40418,0.90915
1.23767E+18,GALAXY,258.1069547,64.0654284,19.61824,17.79926,16.8633,16.40733,16.10147,Null,1.81898,0.93596
1.23767E+18,GALAXY,258.099136,64.03649105,20.7059,18.48481,17.39518,17.07906,16.71403,Null,2.22109,1.08963
1.23767E+18,GALAXY,258.1702388,64.07091593,21.39687,18.99445,18.08592,17.74781,17.28483,Null,2.40242,0.90853
1.23767E+18,GALAXY,258.2584579,64.0522971,17.98511,15.83024,14.83095,14.39797,14.0908,Null,2.15487,0.99929
1.23767E+18,GALAXY,258.3194383,64.05568826,19.2184,17.24371,16.31705,15.87998,15.57243,0.07458469,1.97469,0.92666
1.23767E+18,GALAXY,258.3158262,64.0518474,18.72445,16.54134,15.58639,15.13234,14.83273,Null,2.18311,0.95495
1.23767E+18,GALAXY,258.3405166,64.06907073,18.71745,16.65773,15.71131,15.28201,14.95813,0.0761909,2.05972,0.94642
1.23767E+18,GALAXY,258.3293326,64.07684682,18.16275,16.11195,15.15861,14.73168,14.4307,0.08112399,2.0508,0.95334
1.23767E+18,GALAXY,258.3134186,64.07329146,18.38933,16.30844,15.3737,14.94565,14.61354,Null,2.08089,0.93474
